Country,EdLevel,YearsCodePro,Employment,Salary
11,5,10,2,75576.0
13,1,4,2,61000.0
13,1,24,2,178000.0
13,4,26,2,1800000.0
13,4,26,0,1800000.0
13,4,26,1,1800000.0
13,4,26,4,1800000.0
12,3,7,2,125639.0
13,6,10,2,160000.0
13,1,2,2,89000.0
13,0,0,0,50000.0
13,0,0,1,50000.0
13,0,0,4,50000.0
13,1,13,2,185000.0
12,1,16,2,100511.0
13,1,3,2,90000.0
3,3,2,2,30713.0
1,4,3,2,5736.0
13,1,6,2,320000.0
13,4,7,2,62500.0
13,1,3,2,105000.0
12,1,20,2,1206132.0
8,1,1,2,39276.0
12,1,9,2,182177.0
13,3,11,2,180000.0
8,1,2,2,8976.0
8,1,3,2,67409.0
8,3,6,2,9672.0
13,1,6,2,80000.0
12,1,7,2,69102.0
13,7,1,2,128750.0
4,4,4,3,34126.0
13,1,3,2,170000.0
13,0,8,2,125000.0
13,1,4,2,80000.0
12,0,3,2,45858.0
8,1,7,2,63986.0
13,4,4,2,170000.0
11,7,35,2,65820.0
5,1,8,2,77383.0
13,7,4,2,100000.0
8,1,10,2,103705.0
13,1,0,2,120000.0
13,4,13,2,200000.0
13,1,2,2,165000.0
8,3,2,2,77436.0
8,1,10,2,46872.0
12,4,25,2,163331.0
8,2,15,2,134445.0
8,3,23,2,117168.0
8,3,23,0,117168.0
8,3,23,1,117168.0
8,3,23,4,117168.0
8,5,0,3,50200.0
0,2,20,2,99080.0
5,1,6,2,51589.0
8,1,10,2,125544.0
13,1,7,2,250000.0
8,4,14,2,30300.0
13,4,3,2,95000.0
8,1,9,2,33924.0
8,1,9,0,33924.0
8,1,9,1,33924.0
8,1,9,4,33924.0
3,1,18,2,33603.0
9,1,3,2,31908.0
13,0,9,2,81000.0
13,1,7,2,80000.0
13,1,7,0,80000.0
13,1,7,1,80000.0
13,1,7,4,80000.0
13,3,0,2,105000.0
12,1,2,2,37692.0
13,1,10,2,175000.0
8,4,4,2,53748.0
7,1,6,2,83184.0
13,1,6,2,120000.0
8,1,12,2,74651.0
13,3,14,2,195000.0
10,3,7,2,69318.0
8,4,23,2,157836.0
8,0,14,0,316608.0
8,0,14,1,316608.0
8,0,14,4,316608.0
11,1,20,0,48756.0
11,1,20,1,48756.0
11,1,20,4,48756.0
4,1,10,0,511884.0
4,1,10,1,511884.0
4,1,10,4,511884.0
13,1,5,2,160000.0
13,0,4,2,181000.0
13,1,11,2,145000.0
8,1,23,2,40176.0
4,3,4,2,85315.0
3,3,18,2,92136.0
13,1,3,2,82000.0
13,4,9,2,180000.0
8,3,2,2,13464.0
8,3,2,0,13464.0
8,3,2,1,13464.0
8,3,2,4,13464.0
8,3,8,0,40956.0
8,3,8,1,40956.0
8,3,8,4,40956.0
13,1,8,2,230000.0
8,3,10,2,80868.0
8,3,3,2,28584.0
13,1,7,2,520000.0
8,4,8,2,53568.0
2,1,21,2,156168.0
2,1,21,0,156168.0
2,1,21,1,156168.0
2,1,21,4,156168.0
8,6,26,0,127972.0
8,6,26,1,127972.0
8,6,26,4,127972.0
13,3,3,2,204000.0
4,3,6,2,111976.0
2,1,3,2,55830.0
4,1,3,2,89581.0
8,1,6,2,106680.0
13,3,7,2,236000.0
8,3,17,2,1320000.0
2,1,5,2,117126.0
8,1,4,2,39449.0
8,1,4,0,39449.0
8,1,4,1,39449.0
8,1,4,4,39449.0
13,1,20,2,112000.0
13,1,11,2,90000.0
13,1,16,2,130000.0
13,1,10,2,122500.0
8,3,4,2,32588.0
13,1,4,2,91000.0
11,3,6,2,52104.0
2,1,25,2,234252.0
8,1,7,2,53322.0
13,3,7,2,150000.0
13,1,20,2,400000.0
13,1,0,2,120000.0
12,1,0,2,251279.0
2,1,0,2,46850.0
2,1,0,0,46850.0
2,1,0,1,46850.0
2,1,0,4,46850.0
13,4,15,2,650000.0
8,4,3,2,327300.0
8,1,7,2,172188.0
13,1,4,2,240000.0
12,1,3,2,602316.0
6,1,2,2,117308.0
2,1,17,2,101509.0
13,3,3,2,92000.0
8,3,8,2,164370.0
13,3,7,2,95000.0
8,3,4,2,447900.0
13,7,0,2,45000.0
4,1,2,2,16632.0
2,1,15,0,140556.0
2,1,15,1,140556.0
2,1,15,4,140556.0
10,1,10,2,35192.0
12,3,0,2,43974.0
2,1,6,2,81988.0
4,7,2,2,49908.0
13,3,16,2,140000.0
12,1,5,2,113075.0
13,1,1,2,110000.0
13,4,10,2,100000.0
7,0,5,3,76788.0
13,1,5,2,85000.0
12,1,4,2,113075.0
13,3,7,2,230000.0
13,1,8,2,165000.0
13,3,3,2,180000.0
1,3,10,2,110000.0
8,4,5,2,31176.0
8,4,5,0,31176.0
8,4,5,1,31176.0
8,4,5,4,31176.0
1,6,7,2,32412.0
13,4,22,2,120000.0
